42,,,,,H2O,~50 um droplets ~6 mm away from nozzle; low Q -12 um in X from run 25,droplet dispenser,-160.0002,418.9998,2/26/2011, 21:50:27, 21:51:30,1:03,9367,50,120,150,3.17,2x3,,,,,,-11.7323,66.5942,-13.1,3424.999,-59629.999,5.68,,NO,,,SINE,50040,7,12,,,120Hz-Cont,4,33.0261,6.66,494
43,,,,,H2O,~50 um droplets ~6 mm away from nozzle; low Q -14 um in X from run 25,droplet dispenser,-160.0002,418.9998,2/26/2011, 21:51:33, 21:52:34,1:01,9367,50,120,150,3.17,2x3,,,,,,-11.7323,66.5942,-13.1,3427.001,-59629.999,5.68,,NO,,,SINE,50040,7,12,,,120Hz-Cont,4,31.6998,6.73,479
44,,,,,H2O,~50 um droplets ~6 mm away from nozzle; low Q -16 um in X from run 25,droplet dispenser,-160.0002,418.9998,2/26/2011, 21:52:37, 21:53:38,1:01,9367,50,120,150,3.17,2x3,,,,,,-11.7323,66.5942,-13.1,3429,-59629.999,5.68,,NO,,,SINE,50040,7,12,,,120Hz-Cont,4,31.5974,6.45,458
45,,,,,H2O,~50 um droplets ~6 mm away from nozzle; low Q -18 um in X from run 25,droplet dispenser,-160.0002,418.9998,2/26/2011, 21:53:43, 21:54:45,1:02,9367,50,120,150,3.17,2x3,,,,,,-11.7323,66.5942,-13.1,3430.999,-59629.999,5.68,,NO,,,SINE,50040,7,12,,,120Hz-Cont,4,32.1226,6.5,469
46,,,,,H2O,~50 um droplets ~6 mm away from nozzle; low Q -20 um in X from run 25,droplet dispenser,-160.0002,418.9998,2/26/2011, 21:54:48, 21:55:49,1:01,9367,50,120,150,3.17,2x3,,,,,,-11.7323,66.5942,-13.1,3433.001,-59629.999,5.68,,NO,,,SINE,50040,7,12,,,120Hz-Cont,4,31.9045,6.84,490
47,,,,,H2O,~50 um droplets ~6 mm away from nozzle; low Q -22 um in X from run 25,droplet dispenser,-160.0002,418.9998,2/26/2011, 21:55:53, 21:57:09,1:16,9367,50,120,150,3.17,2x3,,,,,,-11.7323,66.5942,-13.1,3435,-59629.999,5.68,,NO,,,SINE,50040,7,12,,,120Hz-Cont,4,39.8091,6.62,592
48,,,,,H2O,~50 um droplets ~6 mm away from nozzle; low Q -24 um in X from run 25,droplet dispenser,-160.0002,418.9998,2/26/2011, 21:57:13, 21:58:24,1:11,9367,50,120,150,3.17,2x3,,,,,,-11.7323,66.5942,-13.1,3436.999,-59629.999,5.68,,NO,,,SINE,50040,7,12,,,120Hz-Cont,4,36.9072,6.43,533
49,,,,,H2O,~50 um droplets ~6 mm away from nozzle; low Q -26 um in X from run 25,droplet dispenser,-160.0002,418.9998,2/26/2011, 21:58:28, 21:59:31,1:03,9367,50,120,150,3.17,2x3,,,,,,-11.7323,66.5942,-13.1,3439.001,-59629.999,5.68,,NO,,,SINE,50040,7,12,,,120Hz-Cont,4,33.1241,6.84,509
50,,,,,H2O,~50 um droplets ~6 mm away from nozzle; low Q -30 um in X from run 25,droplet dispenser,-160.0002,418.9998,2/26/2011, 21:59:38, 22:00:49,1:11,9367,50,120,150,3.17,2x3,,,,,,-11.7323,66.5942,-13.1,3442.999,-59629.999,5.68,,NO,,,SINE,50040,7,12,,,120Hz-Cont
51,,,,,H2O,~50 um droplets ~6 mm away from nozzle; low Q -40 um in X from run 25,droplet dispenser,-160.0002,418.9998,2/26/2011, 22:00:56, 22:01:58,1:02,9367,50,120,150,3.17,2x3,,,,,,-11.7323,66.5942,-13.1,3453,-59629.999,5.68,,NO,,,SINE,50040,7,12,,,120Hz-Cont
52,,,,,H2O,~50 um droplets ~6 mm away from nozzle; low Q -50 um in X from run 25,droplet dispenser,-160.0002,418.9998,2/26/2011, 22:02:05, 22:03:06,1:01,9367,50,120,150,3.17,2x3,,,,,,-11.7323,66.5942,-13.1,3463.001,-59629.999,5.68,,NO,,,SINE,50040,7,12,,,120Hz-Cont
53,,,,,dark calibration,,droplet dispenser,-160.0002,418.9998,2/26/2011, 22:03:25, 22:04:32,1:07,9367,50,120,150,3.17,2x3,,,,,,-11.7323,66.5942,-13.1,3463.001,-59629.999,5.68,,dark calibration,,,SINE,50040,7,12,,,120Hz-Cont,4,35.2159,0,0
54,,,,,H2O,~50 um droplets ~8 mm away from the nozzle; high Q,droplet dispenser,-399.9998,179.0002,2/26/2011, 22:12:20, 22:17:23,5:03,9367,50,120,150,3.17,2x3,,,,,,-11.7323,68.5942,-13.1,3423,-59629.999,7.68,,RULER,,,SINE,50040,7,12,,,120Hz-Cont
55,,,,,H2O,~50 um droplets ~8 mm away from the nozzle; low Q,droplet dispenser,-160.0004,418.9996,2/26/2011, 22:18:29, 22:23:32,5:03,9367,50,120,150,3.17,2x3,,,,,,-11.7323,68.5942,-13.1,3423,-59629.999,7.68,,NO,,,SINE,50040,7,12,,,120Hz-Cont
56,,,,,H2O,bad run (DAQ problems),droplet dispenser,-160.0004,418.9996,2/26/2011, 22:23:36, 22:23:40,0:04,9367,50,120,150,3.17,2x3,,,,,,-11.7323,68.5942,-13.1,3423,-59629.999,7.68,,NO,,,SINE,50040,7,12,,,120Hz-Cont
57,,,,,H2O,bad run (DAQ problems),droplet dispenser,-160.0004,418.9996,2/26/2011, 22:23:42, 22:23:46,0:04,9367,50,120,150,3.17,2x3,,,,,,-11.7323,68.5942,-13.1,3423,-59629.999,7.68,,NO,,,SINE,50040,7,12,,,120Hz-Cont
58,,,,,H2O,~50 um droplets ~8 mm away from the nozzle; low Q,droplet dispenser,-160.0004,418.9996,2/26/2011, 22:23:51, 22:39:18,15:27,9367,50,120,150,3.17,2x3,,,,,,-11.7323,68.5942,-13.1,3423,-59629.999,7.68,,NO,,,SINE,50040,7,12,,,120Hz-Cont
59,,,,,H2O,~50 um droplets ~11 mm away from the nozzle; high Q,droplet dispenser,-399.9998,179.0002,2/26/2011, 22:46:35, 22:54:40,8:05,9367,50,120,150,3.17,2x3,,,,,,-11.7822,71.5942,-13.1,3423,-59629.999,10.68,,NO,,,SINE,50040,7,12,,,120Hz-Cont
60,,,,,H2O,~50 um droplets ~11 mm away from the nozzle; high Q,droplet dispenser,-399.9998,179.0002,2/26/2011, 22:54:41, 22:59:00,4:19,9367,50,120,150,3.17,2x3,,,,,,-11.7822,71.5942,-13.1,3423,-59629.999,10.68,,NO,,,SINE,50040,7,12,,,120Hz-Cont
61,,,,,H2O,~50 um droplets ~11 mm away from the nozzle; low Q,droplet dispenser,-160.0004,418.9996,2/26/2011, 23:00:18, 23:05:44,5:26,9367,50,120,150,3.17,2x3,,,,,,-11.7822,71.5942,-13.1,3463.001,-59629.999,10.68,,NO,4.00E-03,1.00E-03,SINE,50040,7,12,,,120Hz-Cont
62,,,,,H2O,~50 um droplets ~11 mm away from the nozzle; low Q,droplet dispenser,-160.0004,418.9996,2/26/2011, 23:05:45, 23:20:35,14:50,9367,50,120,150,3.17,2x3,,,,,,-11.7822,71.5942,-13.1,3463.001,-59629.999,10.68,,NO,,,SINE,50040,7,12,,,120Hz-Cont
63,,,,,H2O,~40 um droplets ~21 mm away from the nozzle; high Q,droplet dispenser,-439.9998,139.0002,2/27/2011, 01:24:41, 01:25:53,1:12,9367,50,120,150,3.17,2x3,,,,,,-11.3823,81.5942,-14.0001,3442.999,-59629.999,20.68,,RULER,,,SINE,106000,8,12,,,120Hz-Cont
64,,,,,H2O,~40 um droplets ~21 mm away from the nozzle; high Q,droplet dispenser,-439.9998,139.0002,2/27/2011, 01:33:41, 01:38:18,4:37,9367,50,120,150,3.17,2x3,,,,,,-11.3823,81.5942,-14.0001,3442.999,-59629.999,20.68,,NO,,,SINE,106000,8,12,,,120Hz-Cont
65,,,,,H2O,~40 um droplets ~21 mm away from the nozzle; high Q,droplet dispenser,-400.0004,178.9996,2/27/2011, 01:38:39, 01:42:11,3:32,9367,50,120,150,3.17,2x3,,,,,,-11.3823,81.5942,-14.0001,3463.001,-59629.999,20.68,,NO,,,SINE,106000,8,12,,,120Hz-Cont,4,112.798,34.22,8672
66,,,,,H2O,~40 um droplets ~21 mm away from the nozzle; low Q,droplet dispenser,-160.0004,418.9996,2/27/2011, 01:43:19, 02:03:12,19:53,9367,50,120,150,3.17,2x3,40,,YES,,,-11.3823,81.5942,-14.0001,3463.001,-59629.999,20.68,,NO,,,SINE,106000,8,12,,,120Hz-Cont,8,628.004,14.57,12045
67,,,,,dark calibration,,,-160.0004,418.9996,2/27/2011, 02:13:22, 02:13:44,0:22,9367,50,120,150,3.17,2x3,,,,,,-11.5125,76.5942,-14.0001,3502.999,-59629.999,15.68,,,,,,,8,12,,,120Hz-Cont,4,9.98888,0,0
68,,,,,H2O,~40 um droplets ~16 mm away from the nozzle; high Q,droplet dispenser,-440,139,2/27/2011, 02:15:47, 02:21:11,5:24,9367,50,120,150,3.17,2x3,,,,,,-11.5125,76.5942,-14.0001,3502.999,-59629.999,15.68,,NO,,,SINE,106000,8,12,,,120Hz-Cont,4,172.233,19.72,7632
